city,state,singel_family
Andover, IL,96.2%
Andover, KS,99.0%
Andover, MA,104.1%
Andover, MN,99.6%
Andover, NJ,
Andover, OH,87.6%
Andrews, FL,
Andrews, IN,97.1%
Andrews, SC,97.3%
Andrews, TX,92.7%
Angelica, WI,
Angelus Oaks, CA,
Angie, LA,
Angier, NC,99.7%
Angleton, TX,97.5%
Angola on the Lake, NY,98.1%
Angola, IN,94.5%
Angola, NY,113.9%
Angus, TX,100.0%
Angustura, NM,
Angwin, CA,93.2%
Aniwa, WI,
Ankeny, IA,100.0%
Anmoore, WV,
Ann Arbor, MI,101.1%
Anna Maria, FL,95.3%
Anna, OH,98.4%
Anna, TX,98.6%
Annandale, MN,99.2%
Annandale, NJ,101.5%
Annandale, VA,101.3%
Annapolis Neck, MD,98.5%
Annapolis, MD,99.2%
Annawan, IL,
Annetta North, TX,
Annetta South, TX,
Annetta, TX,99.3%
Annex, OR,
Anniston, AL,95.5%
Annsville, NY,
Annville, PA,100.0%
Anoka, MN,102.1%
Anson, TX,
Ansonia, CT,104.1%
Ansonia, OH,
Ansonville, NC,
Antares, AZ,
Antelope Hills, WY,
Antelope, CA,100.5%
Antelope, OR,
Anthem, AZ,97.4%
Anthon, IA,
Anthony, NM,
Anthony, TX,
Anthoston, KY,
Antietam, MD,
Antioch, CA,100.9%
Antioch, IL,92.7%
Anton, TX,
Antrim, NH,
Antwerp, NY,99.4%
Anza, CA,85.5%
Apache Junction, AZ,99.6%
Apalachin, NY,104.4%
Apex, NC,99.2%
Aplin, AR,
Apollo Beach, FL,98.0%
Apollo, PA,95.4%
Apopka, FL,98.6%
Appalachia, VA,
Apple Creek, OH,95.2%
Apple Grove, WV,
Apple Mountain Lake, VA,96.2%
Apple Valley, CA,100.4%
Apple Valley, MN,100.3%
Apple Valley, ND,
Apple Valley, OH,98.0%
Apple Valley, UT,
Appleby, TX,
Appleton, AR,
Appleton, WI,102.3%
Applewold, PA,
Applewood, CO,101.3%
Appling, GA,
Appomattox, VA,95.6%
Aptos Hills-Larkin Valley, CA,
Aptos, CA,
Aquadale, NC,
Aquasco, MD,97.7%
Aquebogue, NY,
Aquia Harbour, VA,101.8%
Aquilla, OH,
Aquinnah, MA,
Arab, AL,95.4%
Arabi, GA,
Arabi, LA,93.6%
Aragon, GA,97.7%
Arapaho, OK,
Arapahoe, NC,100.9%
Arapahoe, WY,
Arbon Valley, ID,
Arbury Hills, IL,90.9%
Arbutus, MD,100.9%
Arbyrd, MO,
Arcade, GA,80.7%
Arcadia, CA,100.6%
Arcadia, FL,98.9%
Arcadia, IA,
Arcadia, IN,
Arcadia, NY,108.7%
Arcadia, OH,
Arcadia, OK,97.6%
Arcadia, SC,100.0%
Arcanum, OH,95.3%
Arcata, CA,98.6%
Archbald, PA,102.6%
Archbold, OH,95.7%
Archdale, NC,100.3%
Archer City, TX,
Archer Lodge, NC,98.9%
Archer, FL,100.0%
Archer, NE,
Archie, MO,
Arco, ID,
Arcola, TX,97.9%
Arcola, VA,
Arden Hills, MN,105.4%
Arden on the Severn, MD,101.8%
Arden-Arcade, CA,99.4%
Arden, DE,
Ardencroft, DE,
Ardentown, DE,96.9%
Ardmore, AL,98.3%
Ardmore, OK,93.4%
Ardmore, PA,101.3%
Ardsley, NY,109.1%
Arena, WI,94.4%
Arenas Valley, NM,
Arendtsville, PA,95.8%
Argenta, IL,
Argentine, MI,93.7%
Argo, AL,94.5%
Argonia, KS,98.1%
Argos, IN,99.6%
Argyle, IL,97.7%
Argyle, NY,
Argyle, TX,96.4%
Arial, SC,100.0%
Arimo, ID,
Aripeka, FL,
Aristes, PA,
Aristocrat Ranchettes, CO,
Arivaca Junction, AZ,
Arivaca, AZ,
Arizona,,98.3%
Arizona City, AZ,97.0%
Arizona Village, AZ,
Arkabutla, MS,
Arkadelphia, AR,97.0%
Arkansas,,97.3%
Arkansas City, KS,91.9%
Arkport, NY,
Arkwright, SC,100.0%
Arlington Heights, IL,101.3%
Arlington Heights, OH,
Arlington Heights, PA,99.7%
Arlington Heights, WA,101.8%
Arlington, AZ,
Arlington, KS,
Arlington, MA,105.8%
Arlington, NE,98.3%
Arlington, NY,
Arlington, OH,
Arlington, TN,99.0%
Arlington, TX,98.7%
Arlington, VA,99.7%
Arlington, VT,
Arlington, WA,100.4%
Arlington, WI,104.6%
Arma, KS,91.1%
Armada, MI,
Armagh, PA,
Armington, IL,102.2%
Armona, CA,101.4%
Armonk, NY,100.1%
Armorel, AR,
Arnaudville, LA,81.5%
Arnett, OK,96.4%
Arnold City, PA,
Arnold, MD,99.7%
Arnold, MO,102.2%
Arnold, PA,109.5%
Arnolds Park, IA,95.2%
Aroma Park, IL,
Aromas, CA,106.6%
Arona, PA,
Arp, TX,
Arpelar, OK,
Arpin, WI,
Arrington, VA,100.0%
Arrow Rock, MO,
Arrowhead Lake, NJ,
Arrowsmith, IL,103.4%
Arroyo Colorado Estates, TX,
Arroyo Gardens, TX,
Arroyo Grande, CA,98.8%
Arroyo Hondo, NM,
Arroyo Seco, NM,
Artemus, KY,
Artesia, CA,103.6%
Artesia, NM,
Arthurdale, WV,
Artondale, WA,98.3%
Arvada, CO,99.2%
Arvin, CA,99.7%
Asbury Lake, FL,98.9%
Asbury Park, NJ,94.5%
Asbury, IA,98.8%
Asbury, NJ,94.0%
Ascutney, VT,
Ash Flat, AR,
Ash Fork, AZ,
Ash Grove, MO,
Asharoken, NY,
Ashaway, RI,97.9%
Ashburn, VA,101.1%
Ashburnham, MA,95.6%
Ashby, MA,96.9%
Ashdown, AR,100.0%
Asheboro, NC,98.0%
Asher, OK,
Asheville, NC,97.7%
Ashfield, MA,
Ashford, AL,93.5%
Ashford, NY,97.0%
Ashford, WA,100.0%
Ashippun, WI,102.9%
Ashland City, TN,98.0%
Ashland Heights, SD,
Ashland, CA,107.6%
Ashland, KY,97.8%
Ashland, MA,102.4%
Ashland, MO,
